Bank Code,IFSC
RDCX,IBKL0299RDC
RDNX,HDFC0CRNSSB
REBX,IBKL0116RSB
RECX,YESB0RECBS1
REWX,UTIB0REWA01
RGSX,RSBL0000001
RHMX,HDFC0CRLMUB
RJCX,WBSC0RCCB03
RJJX,HDFC0CRCBLB
RJNX,GSCB0URNSBL
RJTX,GSCB0RJT001
RLUX,HDFC0CRLUCB
RNBX,HDFC0CRANUJ
RNDX,IBKL0574RDC
RNGX,KKBK0RRUB01
RNSB,RNSB0000001
RNSX,ICIC00RNSBL
ROCX,IBKL01066RC
ROHX,UTIB0RCCB01
RPUX,ICIC00RUCBL
RRSX,YESB0RSBL01
RSCB,RSCB0000001
RSSX,HDFC0CRSSBL
RSUX,IBKL0080RUC
RSVX,IBKL0464GSB
RUCX,UTIB0SRUCB1
RUKX,KKBK0SRSB01
RUMX,HDFC0CTRUMC
RZSX,ICIC00RAMPR
SABX,KKBK0SSBL02
SACB,ICIC00ARIHT
SACX,HDFC0CSCBL1
SADX,GSCB0SKB001
SAGX,SBIN0RRSRGB
SAHX,HDFC0CSBL02
SAIX,HDFC0CSSB01
SAMX,SRCB0SAM001
SANX,UTIB0SSNS01
SAOX,UTIB0SAMMCB
SAPX,ICIC00SMSBL
SARX,UTIB0SSMC01
SASA,SVCB0013002
SASX,UTIB0SAS001
SATX,YESB0SATYA0
SAUX,NA
SAVX,HDFC0CSVSBL
SAWX,RSCB0030099
SBCR,UTIB0SBUBRN
SBCX,ICIC00SBCUB
SBIN,SBIN0004343
SBKX,HDFC0CCBSBK
SBLD,HDFC0CSBLIN
SBLX,YESB0SLMCB2
SBMX,INDB0SBMC01
SBNX,GSCB0USBNBL
SBPS,UTIB0SBPSBN
SBPX,UTIB0SBPP02
SBUJ,HDFC0CBHRAT
SBUX,ICIC00SBUCB
SCBL,SCBL0036001
SCBX,RSCB0032099
SCCX,TNSC0011100
SCDX,IBKL078SCDC
SCIX,HDFC0CSCBL2
SCNX,HDFC0CSCNSB
SCOB,IBKL0041SCB
